source_id,citation_key,title,author,year,publisher_or_institution,source_type,primary_or_secondary,peer_reviewed,language,geography,doi,stable_url,accessed_at,full_text_status,open_access_status,rights_status,local_filename,sha256,pages_reviewed,intended_use,limitations
S01,lardizabal1951,The Community-Centered Schools and the Adult Education Program,Gregorio Lardizabal,1951,The Philippine Educator / UP Diliman Main Library,contemporaneous report,primary,no,English,Philippines,,https://repository.mainlib.upd.edu.ph/omekas/files/original/b5009d4f2d293814435954ce8890ebb74d4b7ef0.pdf,2026-09-01,verified_full_text,open_downloaded,restricted research copy,lardizabal-1951.pdf,9e34d38b0751ff3af2e1f8a29ec0dee4ee16359846efe5b0896381b5c3a5e998,printed p. 18 (PDF folio 7),local craft chronology,Does not establish origin or visual form; contains excluded technical content.
S02,ilangilang1947,Limang kaluluwa o isang buhay,Ilang-Ilang editorial publication,1947,UP Diliman Main Library,periodical fiction,primary,no,Filipino,Philippines,,https://repository.mainlib.upd.edu.ph/omekas/s/rare-periodicals/media/13521,2026-09-01,verified_full_text,open_downloaded,restricted research copy,ilang-ilang-1947.pdf,7de0d66ad66ad45b0bf3b3f6777fb95c126182defed0a60f0f508d25026e0a89,PDF folios 4 and 6–8,media vocabulary chronology,Contains violent narrative and excluded operational content; no origin evidence.
S03,ccp1994,Metalcraft,Cultural Center of the Philippines editorial project,1994,Cultural Center of the Philippines / National Library of the Philippines,reference chapter,secondary,yes,English,Philippines,,https://epa.culturalcenter.gov.ph/project_intro_to_sections/,2026-09-01,verified_full_text,open_downloaded,restricted research copy,ccp-metalcraft-1994.pdf,d64fd5e230fa2ca494089048fa1219f765491ccf61dd795d0fa9b36d0def6932,PDF folio 5,institutional craft framing,Contains excluded technical content; no public scan display.
S04,yasa2024,Transcending Diversity Through Aesthetics: Reflections on Taman Mini Indonesia Indah and Nayong Pilipino,Mary Vincelle C. Yasa,2024,University of the Philippines Open University,masters thesis,secondary,yes,English,Philippines / Indonesia,,https://repository.upou.edu.ph/items/111fb70a-64da-46cb-92e7-8a874e1a6bbc,2026-09-01,verified_full_text,open_downloaded,permission granted for repository distribution,yasa-2024.pdf,5406d4859a2020cf8eff3da23d2aa385b209c590b544a69d1bd37bc4750703db,pp. 75 and 97; methods and conclusion,heritage mediation,Cannot substitute for the unavailable original brochure; contains excluded technical content.
S05,galvan2016,"Ang balisong bilang sagisag-kultura ng Barangay Balisong, Taal, Batangas City",Daniel John Felix G. Galvan,2016,De La Salle University,undergraduate thesis,secondary,no,Filipino,"Taal, Batangas",,https://animorepository.dlsu.edu.ph/etd_bachelors/2831/,2026-09-01,abstract_only,not_downloaded,metadata only,,,institutional abstract only,research landscape,Cited only as an abstract and not used for strong historical facts.
S06,universitybatangas2024,"Likhalina 2024: UB CAS Champions Batangas Heritage through Living Crafts; Showcases Burda, Balisong",University of Batangas,2024,University of Batangas,institutional public-history page,secondary,no,English,Batangas,,https://ub.edu.ph/ubbc/likhalina-2024-ub-cas-champions-batangas-heritage-through-living-crafts-showcases-burda-balisong/,2026-09-01,verified_full_text,public_web,institutional web page,,,full web page,contemporary heritage framing,Contains demonstration context; operational details excluded.
S07,municipalitytaal2013,"Balisong, the Folding Pocket Knife is Taal’s Pride",Municipality of Taal,2013,Municipality of Taal,local government page,secondary,no,English,"Taal, Batangas",,https://news.taal.gov.ph/balisong-the-folding-pocket-knife-is-taals-pride/,2026-09-01,verified_full_text,public_web,institutional web page,,,full web page,municipal identity framing,"Used only for self-representation, not origins."
S08,taalelpasubat2013,El Pasubat,Municipality of Taal,2013,Municipality of Taal,local government page,secondary,no,English,"Taal, Batangas",,https://news.taal.gov.ph/tourism/el-pasubat/,2026-09-01,verified_full_text,public_web,institutional web page,,,full web page,heritage and tourism tension,Does not verify deeper chronology.
S09,ipophilgi2026,Geographical Indications,Intellectual Property Office of the Philippines,2026,IPOPHL,government guidance,primary,no,English,Philippines,,https://www.ipophil.gov.ph/geographical-indications/,2026-09-01,verified_full_text,public_web,official government web page,,,definitions and registration framework,place-product institutionalization,Must not be cited as proof of balisong GI status.
S10,cabanding2015,"Status, Problems and Prospects of Agricultural Cutting Tools Manufacturing and Trading in Selected Areas in Taal, Batangas",Braham Noe D. Cabanding,2015,University of the Philippines Los Baños,undergraduate thesis,secondary,no,English,"Taal, Batangas",,https://www.ukdr.uplb.edu.ph/etd-undergrad/12244/,2026-09-01,abstract_only,not_downloaded,metadata only,,,institutional abstract only,background only,Insufficient for strong claims.
S11,villegas2002,Batangas: Forged in Fire,"Ramon N. Villegas, ed.",2002,Philippine eLib catalogue,book,secondary,yes,English,Batangas,,https://www.elib.gov.ph/details.php?uid=ea527f0ec2a5526682842487a58542a1,2026-09-01,metadata_only,not_downloaded,metadata only,,,catalogue metadata only,discovery only,Not represented as read.
S12,nayongbrochure1969,"Ang Nayong Pilipino, the Philippine Village",Philippine Tourist and Travel Association; Board of Travel and Tourist Industry,1969,CiNii / Kyoto University CSEAS catalogue,government tourism brochure,primary,no,English,Philippines,,https://ci.nii.ac.jp/ncid/BA59540895,2026-09-01,metadata_only,not_downloaded,metadata only,,,catalogue metadata only,citation-chain audit,Not represented as read.
S13,batangashistorical1953,"History and Cultural Life of Balisong, Bauan, Batangas",Local historical-data transcription,1953,National Library historical data transcription,archival transcription,primary,no,English,"Bauan, Batangas",,https://www.batangashistory.date/2018/01/balisong-bauan-batangas-historical-data.html,2026-09-01,verified_partial,public_web,unknown,,,full transcription; provenance note,disambiguation,Excluded from core evidence.
S14,metluzonknife1999,"Knife, Luzon Island, late 19th–early 20th century",The Metropolitan Museum of Art,1999,Metropolitan Museum of Art,museum object record,primary,no,English,Luzon,,https://www.metmuseum.org/art/collection/search/317185,2026-09-01,metadata_only,not_downloaded,restricted image / metadata public,,,object metadata only,museum classification limit,"Metadata-only counterexample, not a form comparison."
S15,gonzalez2017,Safeguarding Pabalat-Wrapped Pastillas in the Philippines: Problems and Possibilities of Community Participation,Patricia Gonzalez,2017,Ateneo de Manila University,journal article,secondary,yes,English,Philippines,10.13185/2799-015X.1127,https://archium.ateneo.edu/socialtransformations/vol5/iss2/3/,2026-09-01,verified_partial,public_web,abstract public,,,institutional abstract and citation metadata,heritage counterargument,Used only for the article abstract’s stated argument.
S16,appadurai1986,The Social Life of Things: Commodities in Cultural Perspective,"Arjun Appadurai, ed.",1986,Cambridge University Press,edited scholarly book,secondary,yes,English,Global,10.1017/CBO9780511819582,https://doi.org/10.1017/CBO9780511819582,2026-09-01,verified_partial,public_web,copyrighted preview,,,publisher introduction preview and metadata,object biography method,"Used for framework, not object facts."
S17,kopytoff1986,The Cultural Biography of Things: Commoditization as Process,Igor Kopytoff,1986,Cambridge University Press,book chapter,secondary,yes,English,Global,10.1017/CBO9780511819582.004,https://doi.org/10.1017/CBO9780511819582.004,2026-09-01,verified_partial,public_web,copyrighted preview,,,publisher preview; chapter range pp. 64–92,object biography method,Methodological use only.
S18,stargriesemer1989,"Institutional Ecology, “Translations” and Boundary Objects: Amateurs and Professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–39",Susan Leigh Star and James R. Griesemer,1989,SAGE / University of California,journal article,secondary,yes,English,United States,10.1177/030631289019003001,https://doi.org/10.1177/030631289019003001,2026-09-01,verified_full_text,open_downloaded,repository research copy,star-griesemer-1989.pdf,a7178baaf6079e86e7b5a245b4ddaded11593d7c167a12da5e71654de3f0485b,pp. 387–420; especially 388–393 and 408–414,boundary object synthesis,"Used conceptually, not as empirical object history."
S19,gosdenmarshall1999,The Cultural Biography of Objects,Chris Gosden and Yvonne Marshall,1999,World Archaeology / Routledge,journal article,secondary,yes,English,Global,10.1080/00438243.1999.9980439,https://doi.org/10.1080/00438243.1999.9980439,2026-09-01,verified_full_text,open_downloaded,repository research copy,gosden-marshall-1999.pdf,7ec184f2cd384ba2057743052051144fbdf02d96bbcda541d68c58fd8d673466,pp. 169–178,object biography method,Conceptual source only.
S20,dyer2021,State of the Field: Material Culture,Serena Dyer,2021,History / Wiley,journal article,secondary,yes,English,Global,10.1111/1468-229X.13104,https://doi.org/10.1111/1468-229X.13104,2026-09-01,verified_full_text,public_web,open access,,,"pp. 282–292, full open article",material culture method,Conceptual source only.
S21,drazin2021,The Object Biography,Adam Drazin,2021,Routledge,open-access book chapter,secondary,yes,English,Global,10.4324/9781003085867-5,https://doi.org/10.4324/9781003085867-5,2026-09-01,verified_full_text,public_web,open access,,,"open chapter, full text",object biography method,Conceptual source only.
S22,smith2012,Discourses of Heritage: Implications for Archaeological Community Practice,Laurajane Smith,2012,Nuevo Mundo Mundos Nuevos,journal article,secondary,yes,English,Global,10.4000/nuevomundo.64148,https://doi.org/10.4000/nuevomundo.64148,2026-09-01,verified_full_text,public_web,CC BY-NC-ND 4.0 text,,,full open HTML,heritage mediation,Conceptual comparison only.
S23,unescoCraft,Traditional Craftsmanship,UNESCO,n.d.,UNESCO Intangible Cultural Heritage,intergovernmental guidance,secondary,no,English,Global,,https://ich.unesco.org/en/traditional-craftsmanship-00057,2026-09-01,verified_full_text,public_web,official web page,,,full official page,heritage framework,Must not imply UNESCO recognition of this object.
S24,unescoICH,What Is Intangible Cultural Heritage?,UNESCO,n.d.,UNESCO Intangible Cultural Heritage,intergovernmental guidance,secondary,no,English,Global,,https://ich.unesco.org/en/what-is-intangible-heritage-00003,2026-09-01,verified_full_text,public_web,official web page,,,full official page,heritage framework,Must not imply UNESCO recognition.
S25,hekkert2006,Design Aesthetics: Principles of Pleasure in Design,Paul Hekkert,2006,Psychology Science / TU Delft,journal article,secondary,yes,English,Global,,https://resolver.tudelft.nl/uuid:4e0b8051-5436-4e12-a24f-43ce8a58d8b2,2026-09-01,verified_full_text,open_downloaded,repository research copy,hekkert-2006.pdf,3f19f127d7424b15c4ed8b8306a85de2a755c1a979d374c64bbc13d6adf7ad0f,pp. 157–172,design aesthetics,No deterministic application.
S26,rosswensveen2010,Designing Behavior in Interaction: Using Aesthetic Experience as a Mechanism for Design,Philip Ross and Stephan Wensveen,2010,International Journal of Design,journal article,secondary,yes,English,Global,,https://www.ijdesign.org/index.php/IJDesign/article/view/765/297,2026-09-01,verified_full_text,open_downloaded,open journal access,ross-wensveen-2010.pdf,14f74bf8f182a36de594f1f2eb0aaa364e1e791f41b17f3c96924dc47f88dc1c,"vol. 4, no. 2, pp. 3–13",interaction aesthetics,No technical inference.
S27,vandijkrietveld2017,Foregrounding Sociomaterial Practice in Our Understanding of Affordances: The Skilled Intentionality Framework,Sanneke van Dijk and Erik Rietveld,2017,Frontiers in Psychology,journal article,secondary,yes,English,Global,10.3389/fpsyg.2016.01969,https://doi.org/10.3389/fpsyg.2016.01969,2026-09-01,verified_full_text,open_downloaded,CC BY,vandijk-rietveld-2017.pdf,57d62647ded89f01929a96d952dadf64492b2720cf88ea4f0ff3e105038c824b,"article 1969, full text",affordance framework,Conceptual source only.
S28,ramstead2016,Cultural Affordances: Scaffolding Local Worlds through Shared Intentionality and Regimes of Attention,"Maxwell J. D. Ramstead, Samuel P. L. Veissière, and Laurence J. Kirmayer",2016,Frontiers in Psychology,journal article,secondary,yes,English,Global,10.3389/fpsyg.2016.01090,https://doi.org/10.3389/fpsyg.2016.01090,2026-09-01,verified_full_text,open_downloaded,CC BY,ramstead-et-al-2016.pdf,93470c29f63e84e3eb6a4010bfd817244b83b9262bb568d7a7624e39e93b43c4,"vol. 7, article 1090, full text",cultural affordance,No claim that form alone produces culture.
S29,rietveldkiverstein2014,A Rich Landscape of Affordances,Erik Rietveld and Julian Kiverstein,2014,Ecological Psychology,journal article,secondary,yes,English,Global,10.1080/10407413.2014.958035,https://doi.org/10.1080/10407413.2014.958035,2026-09-01,verified_full_text,public_web,open article,,,"pp. 325–352, full open article",affordance framework,Conceptual source only.
S30,petersen2004,Aesthetic Interaction: A Pragmatist’s Aesthetics of Interactive Systems,Marianne Graves Petersen et al.,2004,ACM DIS,conference paper,secondary,yes,English,Global,10.1145/1013115.1013153,https://doi.org/10.1145/1013115.1013153,2026-09-01,abstract_only,not_downloaded,metadata only,,,publisher abstract and metadata,background only,Not used for a strong claim.
S31,parsonscarlson2008,Functional Beauty,Glenn Parsons and Allen Carlson,2008,Oxford University Press,scholarly book,secondary,yes,English,Global,10.1093/acprof:oso/9780199205240.001.0001,https://doi.org/10.1093/acprof:oso/9780199205240.001.0001,2026-09-01,verified_partial,public_web,copyrighted preview,,,publisher abstract and preview,background only,Background only in this draft.
S32,xenakisarnellos2013,The Relation between Interaction Aesthetics and Affordances,Ioannis Xenakis and Argyris Arnellos,2013,Design Studies,journal article,secondary,yes,English,Global,10.1016/j.destud.2012.05.004,https://doi.org/10.1016/j.destud.2012.05.004,2026-09-01,abstract_only,not_downloaded,metadata only,,,abstract and metadata,background only,Excluded from substantive citation.
S33,jenkins2006,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,Henry Jenkins et al.,2006,MacArthur Foundation,research report,secondary,yes,English,United States,,https://www.macfound.org/media/article_pdfs/jenkins_white_paper.pdf,2026-09-01,verified_full_text,open_downloaded,open public PDF,jenkins-et-al-2006.pdf,bace6e599f606e04b43a233f3dac065d0cdf5709c073b66864de51fa54464e54,pp. 3–9 and 22–55,participatory culture,Applied as a qualified analogy.
S34,farnsworth2016,Communities of Practice as a Social Theory of Learning: A Conversation with Etienne Wenger,"Vanessa Farnsworth, Irene Kleanthous, and Etienne Wenger-Trayner",2016,British Journal of Educational Studies,journal article,secondary,yes,English,Global,10.1080/00071005.2015.1133799,https://doi.org/10.1080/00071005.2015.1133799,2026-09-01,verified_full_text,open_downloaded,accepted manuscript,farnsworth-et-al-2016.pdf,99a668649ae6a5fc69c55fea5dff5088763d76e33146b1a00158099114abe0fb,"pp. 139–160, accepted manuscript",community and identity,Conceptual source only.
S35,cox2005,What Are Communities of Practice? A Comparative Review of Four Seminal Works,Andrew Cox,2005,Journal of Information Science / White Rose,journal article,secondary,yes,English,Global,10.1177/0165551505057016,https://eprints.whiterose.ac.uk/id/eprint/8140/,2026-09-01,verified_full_text,public_web,repository copy,,,full repository article,community critique,Applied cautiously.
S36,wenger2000,Communities of Practice and Social Learning Systems,Etienne Wenger,2000,Organization,journal article,secondary,yes,English,Global,10.1177/135050840072002,https://doi.org/10.1177/135050840072002,2026-09-01,abstract_only,not_downloaded,metadata only,,,abstract and metadata,background only,Not used as direct evidence.
S37,usc1241,15 U.S.C. § 1241: Definitions,United States Congress,2026,"Office of the Law Revision Counsel, U.S. House",statute,primary,no,English,United States,,https://uscode.house.gov/view.xhtml?req=%28title%3A15+section%3A1241+edition%3Aprelim%29,2026-09-01,verified_full_text,public_web,public domain official text,,,section 1241; laws in effect 2026-08-29,legal classification,Status must be rechecked after as-of date.
