source_id,citation_key,full_citation,source_category,source_tier,primary_or_secondary,peer_reviewed,institution,geographic_perspective,publication_year,historical_proximity,author_expertise,full_text_status,pages_or_sections_read,central_argument,evidence_contributed,possible_bias,source_dependencies,rights_status,usable_for_publication,limitations,verification_status
S01,lardizabal1951,"Gregorio Lardizabal. “The Community-Centered Schools and the Adult Education Program.” The Philippine Educator / UP Diliman Main Library, 1951.",contemporaneous report,A,primary,no,The Philippine Educator / UP Diliman Main Library,Philippines,1951,contemporaneous,The Philippine Educator / UP Diliman Main Library,verified_full_text,printed p. 18 (PDF folio 7),Community-school report records local economic activity during 1950–51 visits.,Contemporaneous evidence of balisong production as an organized Batangas industry.,Development-administration viewpoint.,independent unless limitation notes a citation chain,restricted research copy,yes,Does not establish origin or visual form; contains excluded technical content.,verified_full_text
S02,ilangilang1947,"Ilang-Ilang editorial publication. “Limang kaluluwa o isang buhay.” UP Diliman Main Library, 1947.",periodical fiction,A,primary,no,UP Diliman Main Library,Philippines,1947,contemporaneous,UP Diliman Main Library,verified_full_text,PDF folios 4 and 6–8,Popular fiction deploys the term balisong without explanation.,Dated evidence that the term circulated in Philippine print culture by 1947.,"Fiction is evidence of vocabulary, not factual object history.",independent unless limitation notes a citation chain,restricted research copy,yes,Contains violent narrative and excluded operational content; no origin evidence.,verified_full_text
S03,ccp1994,"Cultural Center of the Philippines editorial project. “Metalcraft.” Cultural Center of the Philippines / National Library of the Philippines, 1994.",reference chapter,B,secondary,yes,Cultural Center of the Philippines / National Library of the Philippines,Philippines,1994,later analysis,Cultural Center of the Philippines / National Library of the Philippines,verified_full_text,PDF folio 5,Surveys Philippine metalcraft as folk art and local technology.,Institutional framing of the balisong as Batangas/Tagalog metalcraft associated with Taal.,Encyclopedic synthesis; its source chain is not fully visible in the extract.,independent unless limitation notes a citation chain,restricted research copy,yes,Contains excluded technical content; no public scan display.,verified_full_text
S04,yasa2024,"Mary Vincelle C. Yasa. “Transcending Diversity Through Aesthetics: Reflections on Taman Mini Indonesia Indah and Nayong Pilipino.” University of the Philippines Open University, 2024.",masters thesis,B,secondary,yes,University of the Philippines Open University,Philippines / Indonesia,2024,later analysis,University of the Philippines Open University,verified_full_text,pp. 75 and 97; methods and conclusion,National display institutions organize regional crafts into legible national-cultural narratives.,Scholarly analysis and citation trail for the 1969 Nayong Pilipino Batangas-and-balisong display.,The 1969 brochure was not independently acquired; later interpretive frame.,independent unless limitation notes a citation chain,permission granted for repository distribution,yes,Cannot substitute for the unavailable original brochure; contains excluded technical content.,verified_full_text
S05,galvan2016,"Daniel John Felix G. Galvan. “Ang balisong bilang sagisag-kultura ng Barangay Balisong, Taal, Batangas City.” De La Salle University, 2016.",undergraduate thesis,B,secondary,no,De La Salle University,"Taal, Batangas",2016,later analysis,De La Salle University,abstract_only,institutional abstract only,"The abstract reports a qualitative study of craft, family transmission, livelihood, and local symbolism.",Research lead and evidence of a local scholarly question.,No full text or page verification; abstract contains excluded technical content.,independent unless limitation notes a citation chain,metadata only,yes,Cited only as an abstract and not used for strong historical facts.,abstract_only
S06,universitybatangas2024,"University of Batangas. “Likhalina 2024: UB CAS Champions Batangas Heritage through Living Crafts; Showcases Burda, Balisong.” University of Batangas, 2024.",institutional public-history page,C,secondary,no,University of Batangas,Batangas,2024,later analysis,University of Batangas,verified_full_text,full web page,"University exhibition frames local making as living craft, livelihood, and heritage adaptation.",Contemporary institutional framing and named local artisan participation.,Event publicity; not independent proof of antiquity or origin.,independent unless limitation notes a citation chain,institutional web page,yes,Contains demonstration context; operational details excluded.,verified_full_text
S07,municipalitytaal2013,"Municipality of Taal. “Balisong, the Folding Pocket Knife is Taal’s Pride.” Municipality of Taal, 2013.",local government page,C,secondary,no,Municipality of Taal,"Taal, Batangas",2013,later analysis,Municipality of Taal,verified_full_text,full web page,Municipal tourism page connects the object to local pride.,Evidence of official local identity framing.,Promotional language and unverified origin narrative; purchasing-like text excluded.,independent unless limitation notes a citation chain,institutional web page,yes,"Used only for self-representation, not origins.",verified_full_text
S08,taalelpasubat2013,"Municipality of Taal. “El Pasubat.” Municipality of Taal, 2013.",local government page,C,secondary,no,Municipality of Taal,"Taal, Batangas",2013,later analysis,Municipality of Taal,verified_full_text,full web page,"Municipal festival bundles crafts, products, pride, and local economy.",Evidence that heritage language also operates through tourism and promotion.,Promotional institutional source.,independent unless limitation notes a citation chain,institutional web page,yes,Does not verify deeper chronology.,verified_full_text
S09,ipophilgi2026,"Intellectual Property Office of the Philippines. “Geographical Indications.” IPOPHL, 2026.",government guidance,A,primary,no,IPOPHL,Philippines,2026,later analysis,IPOPHL,verified_full_text,definitions and registration framework,Explains how geographical indications link qualities or reputation to place.,Institutional comparison for place-product claims.,General framework; the register did not establish a balisong registration.,independent unless limitation notes a citation chain,official government web page,yes,Must not be cited as proof of balisong GI status.,verified_full_text
S10,cabanding2015,"Braham Noe D. Cabanding. “Status, Problems and Prospects of Agricultural Cutting Tools Manufacturing and Trading in Selected Areas in Taal, Batangas.” University of the Philippines Los Baños, 2015.",undergraduate thesis,B,secondary,no,University of the Philippines Los Baños,"Taal, Batangas",2015,later analysis,University of the Philippines Los Baños,abstract_only,institutional abstract only,Abstract reports small-enterprise and labor issues in a related Taal craft sector.,Contextual research lead for livelihood and intergenerational skill.,Not balisong-specific evidence; restricted full text; contains excluded technical content.,independent unless limitation notes a citation chain,metadata only,no,Insufficient for strong claims.,abstract_only
S11,villegas2002,"Ramon N. Villegas, ed.. Batangas: Forged in Fire. Philippine eLib catalogue, 2002.",book,B,secondary,yes,Philippine eLib catalogue,Batangas,2002,later analysis,Philippine eLib catalogue,metadata_only,catalogue metadata only,Regional cultural history lead.,Bibliographic lead only.,No digital full text acquired.,independent unless limitation notes a citation chain,metadata only,no,Not represented as read.,metadata_only
